track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,chart_date,duration_ms,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,lsit_of_artists
Castle On The Hill,Ed Sheeran,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,35.60983,12,1,,261153,77,2017-03-03,0,93,71489540,1,['6eUKZXaKkcviH0Ku9w2n3V']
Rise the Wrath of Satan,Invincible Force,spotify:track:4kTr911YHfcLg8rqdAP2nr,0.186,0.98,6,-6.763,1,0.407,0.0575,0.921,0.352,0.038,176.723,179480,3,38.55051,8,0,,179480,1,2015-03-10,0,10,876,1,['1DC1n9qSONuoXOYRh28ATo']
Eternal Destruction,Blasfemia,spotify:track:7KJbrCpABypcvRJp83Gy3P,0.184,0.938,8,-7.097,1,0.0599,2.74e-06,0.955,0.176,0.319,97.269,279592,4,62.72052,13,0,,279591,1,2016-04-18,0,1,120,1,['7EsY4c6FShZBABJoSkgikh']
They Say It's Wonderful (feat. Johnny Hartman),John Coltrane,spotify:track:44ID8h4ZC7GsMjUieOqomQ,0.403,0.122,3,-17.423,1,0.0338,0.973,0.603,0.117,0.151,100.839,321400,4,126.51656,10,0,,321400,1,2015-08-21,0,68,1232401,2,"['2hGh5VOeeqimQFxqXvfCUf', '7qVvIFc9DktkAc0HKzRhNo']"
Love Yourself,Justin Bieber,spotify:track:5SlE0MZyLHZwUMvGROYJRl,0.803,0.367,4,-10.091,1,0.317,0.851,0,0.255,0.539,100.171,234933,4,23.7485,12,1,,234933,9,2019-12-27,0,96,39014690,1,['1uNFoZAHBGtllmzznpCI3s']
The Shadow of Your Smile,Scott Hamilton,spotify:track:5Bl1TC8Y1qh3ui6fGSWL5a,0.487,0.135,2,-11.211,0,0.0434,0.915,0.00353,0.686,0.24,105.854,388347,5,24.75163,18,0,,388346,56,2017-01-06,0,58,32186,4,"['7sBx432MZn1MzHeYHAA5qr', '2Ror5pi9KTS40JRNzcWxj3', '60JCzYj9SSZ3DZdyONwr5P', '1TYodU4WCCM39ztPleTYuy']"
Morattu Single,Hiphop Tamizha,spotify:track:6M8B0tsblkkeJKtyI9NQhR,0.595,0.952,2,-2.842,1,0.16,0.557,0,0.366,0.77,160.003,186711,4,22.31986,10,0,,186711,46,2019-04-03,0,65,1400649,2,"['7zFBW2JxM4bgTTKxCRcS8Q', '4sdcjfLzvLC1IUYFwCAWHn']"
Everybody Dies In Their Nightmares,XXXTENTACION,spotify:track:3GVkPk8mqxz0itaAriG1L7,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,34.87507,5,1,,95466,84,2017-08-25,0,93,22780506,1,['15UsOTVnJzReFVN1VCnxy4']
Boiled Peanuts,Astronautalis,spotify:track:1OlGb16N3aM3agFsyTRJe8,0.704,0.681,6,-7.777,1,0.0356,0.0255,0.0011,0.337,0.185,120.029,425859,4,19.99105,24,0,,425859,44,2016-05-13,0,80,3324956,2,"['6PWRJs1FosHp8Cqx0Nmswj', '56oDRnqbIiwx4mymNEv7dS']"
Baby,Lil Baby & DaBaby,spotify:track:2gwkD6igEhQbDQegRCcdoB,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,163320,4,22.72264,9,1,,163320,79,2019-03-01,0,95,4751311,1,['4r63FhuTkUYltbVAg5TQnk']
Before You Wake Up,Adekunle Gold,spotify:track:2PKRz9DR6lUX6zAJgW5aRV,0.629,0.821,8,-3.4,0,0.17,0.499,0,0.411,0.715,63.59,174500,5,22.2043,6,0,,174500,51,2019-03-01,0,59,70753,1,['2IK173RXLiCSQ8fhDlAb3s']
Starsoul,Lazy Hammock,spotify:track:2VxzP1Ku5EqDnO33E7p4Bh,0.708,0.549,9,-11.487,0,0.0697,0.000966,0.241,0.267,0.322,89.996,465973,4,43.38633,21,0,,465973,3,2014,0,35,3324,1,['2DNsQfsgGeaQwnyc6pdMNz']
"Symphony No. 7, ""Angel of Light"": III. Come un sogno",Einojuhani Rautavaara,spotify:track:5D1C13JHD5kCD94O8WnXK1,0.101,0.0292,1,-31.949,1,0.0426,0.308,0.87,0.112,0.0288,62.929,615693,4,43.59125,29,0,,615693,25,2011-10-04,0,37,10876,3,"['3MXhtYDNuzQQmLfOKFgPiI', '7xe7rH5SJ5Z3PzZvqAU2nq', '1AZTVGOm7t5zkOcweZBivz']"
Necromaniac,Exhumed,spotify:track:26vQ4HJAxBktwOqXy8Raoe,0.476,0.988,10,-7.009,0,0.135,0.000253,0.387,0.283,0.263,110.179,165840,4,75.72886,9,0,,165840,10,2015-02-10,0,34,37814,1,['2OjtmMho2pBS86zQ1PliRu']
Heart of Metal (Remix),Ultimatum,spotify:track:3Fe0QFsMXY0gbeJo4exiNo,0.599,0.945,10,-4.182,0,0.0768,0.00499,1.63e-05,0.096,0.308,95.954,279400,4,30.94316,16,0,,279400,4,2012-10-30,0,9,1640,1,['2h6Pq9WnRGxJRt4u7oljIe']
Army of the Night,Powerwolf,spotify:track:5f1x0u2s0qrAk6IlqRKdHc,0.422,0.969,1,-3.56,0,0.0556,0.00054,0,0.281,0.577,171.99,201387,4,23.18011,9,0,,201386,14,2015-11-13,0,69,478607,1,['5HFkc3t0HYETL4JeEbDB1v']
Tainted Metal,Hammerfall,spotify:track:1HTq9HfJ8r9PJ67sjSadfX,0.197,0.963,6,-4.973,0,0.071,6.1e-06,0.00074,0.0363,0.501,80.025,277800,4,23.36232,11,0,,275805,23,2014-08-27,0,61,418351,1,['2o18h28enlHxj887tATc58']
"English Suite No. 2 in A Minor, BWV 807: IV. Sarabande",Johann Sebastian Bach,spotify:track:7blb1JcEUpsmYjjGLa34eK,0.455,0.0358,9,-26.109,0,0.0555,0.995,0.937,0.0649,0.152,70.453,225653,1,46.63887,9,0,,225653,0,2014-02-04,0,81,2935996,2,"['5aIqB5nVVvmFsvSdExz408', '35t6kfXIBx1WFpDelaCW7r']"
Never Gonna Leave This Bed,Maroon 5,spotify:track:4ucLHLiSjvkCz5Lr5dlVUj,0.609,0.81,11,-4.207,1,0.0296,0.11,0,0.246,0.47,117.364,196707,4,33.18751,12,1,,196706,53,2010,0,90,27593488,1,['04gDigrS5kc9YWfZHwBETP']
All Gold Everything,Trinidad James,spotify:track:0pgeVJrdNok4KhbiM58ayZ,0.516,0.755,0,-8.868,0,0.351,0.0258,0,0.329,0.633,99.742,187907,4,34.34435,10,1,,187906,53,2013-01-01,0,63,247069,1,['0I5HubncQ8E1MFZOlPDY4J']
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,spotify:track:2fVHrSxsQbJUuj9MW9zG1e,0.51,0.846,3,-4.595,1,0.0461,0.0101,0,0.208,0.475,139.927,226733,4,36.95644,8,1,,226733,77,2019-12-06,0,87,23613829,2,"['69GGBxA162lTqCwzJG5jLp', '5Rl15oVamLq7FbSb0NNBNy']"
Playing Dead,"Chunk! No, Captain Chunk!",spotify:track:4KuwjTOfniivWFKJz3p1yW,0.512,0.982,10,-4.203,1,0.151,0.000432,0.00024,0.294,0.372,122.022,209827,4,32.04041,7,0,,209826,42,2015-01-01,0,50,128096,1,['03jrbNTeSKP9m161juhm0h']
Troubled Air,Sunn 0))),spotify:track:7hzrqJQMQiH0qR4Zd4NVoG,0.131,0.0326,7,-7.983,1,0.0441,0.0103,0.747,0.118,0.0324,100.597,705584,4,55.69113,37,0,,705584,26,2019-04-26,0,38,101843,1,['2e7hYqRjL82c1nIoREHc4J']
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,spotify:track:0ky2rzzC9DqXgEqLuq7dWJ,0.59,0.82,0,-5.319,1,0.0662,0.00108,8.78e-06,0.131,0.585,127.999,226613,4,45.70107,13,1,,226613,17,2019-12-27,0,96,58103295,2,"['1uNFoZAHBGtllmzznpCI3s', '0hCNtLu0JehylgoiP8L4Gh']"
Par Avion,The American Dollar,spotify:track:5knokEfY6UDmdDIUvVOZCI,0.387,0.457,0,-15.727,1,0.0489,0.584,0.944,0.0964,0.235,110.155,225707,4,43.43522,15,0,,225706,11,2010-06-20,0,49,45650,1,['5r4OqYJL7JrtZlffx7FJlb']
DAT Beats,Ran Slavin,spotify:track:1qU6f99vBTQjTQnQjWPcMH,0.381,0.369,7,-14.519,1,0.322,0.224,0.82,0.0986,0.365,69.726,589680,3,17.17215,28,0,,589680,0,2010-11-01,0,1,160,1,['2cfaPSaLLz3tlXnpzGRzhz']
Stars Before The Sun,Capstan,spotify:track:3tTtwKs8ZlE9fbSdMla9EM,0.202,0.946,5,-2.677,1,0.188,0.000236,0.000151,0.0808,0.344,179.739,207107,3,49.13047,9,0,,207106,46,2019-09-20,0,47,31525,1,['3cb9CRWtkBQNjVLQNLP9FE']
Chebika - Claudio Mate Metal Remix,Stefano Patarnello,spotify:track:0YkwW7xMVWf675IDeTXvgo,0.624,0.863,7,-8.142,0,0.03,3.78e-06,0.945,0.0849,0.0394,119.993,386000,4,58.49512,12,0,,386000,0,2014-10-17,0,1,478,2,"['2PoYQgahZ587xnM1Y6kla4', '0b3scCOmbldVtJgOJT0hy3']"
Heart Attack,Trey Songz,spotify:track:25CA8QVJQrh5R05UUCaODM,0.608,0.863,11,-4.87,1,0.131,0.0593,0,0.228,0.476,150.029,233147,4,23.08755,9,1,,233146,55,2012-08-17,0,80,5387387,1,['2iojnBLj0qIMiKPvVhLnsH']
Inoculate the Innocuous,The Unicorns,spotify:track:17DkINHP2qVaSWx31M13dh,0.362,0.45,7,-8.204,1,0.0628,0.312,0.332,0.0965,0.162,83.441,318227,4,44.88507,14,0,,318226,30,2014-07-29,0,43,59124,1,['7L5HH5QtkDe7u2hJ1FUKFo']
Ophelia,The Lumineers,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,4,38.70272,6,1,,160097,74,2016-04-08,0,81,3973105,1,['16oZKvXb6WkQlVAjwo2Wbg']
Lettin' The Night Roll,Justin Moore,spotify:track:33LSgUa20mKNgeut1XwP2E,0.542,0.859,2,-5.137,1,0.0424,0.0873,0,0.145,0.637,140.9,203120,4,145.01526,4,1,,203120,53,2013-01-01,0,69,1259022,1,['30e8DmahrEamvLbFRPdWmk']
This Is America,Childish Gambino,spotify:track:0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,225773,4,49.4936,8,1,,225773,74,2018-05-06,0,82,7053607,1,['73sIBHcqh3Z3NyqHKZ7FOL']
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,spotify:track:7s0lDK7y3XLmI7tcsRAbW0,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,186827,4,44.80979,8,1,,186826,67,2013-01-01,0,84,8292940,1,['4UXqAaa6dQYAk18Lv7PEgX']
Snagglepuss,VibeSquaD,spotify:track:2RAKxWCWNoILtUKKs9k4SX,0.813,0.765,4,-6.556,0,0.135,0.0259,0.545,0.665,0.861,102.011,269840,4,37.70482,12,0,,269840,1,2010,0,30,13101,1,['5lle26yzjJ832LNygnbvPW']
6 Chansons: No. 5. Aujourd'hui le ciel est noir… (Today the sky is black),Iannis Xenakis,spotify:track:4NUQF1JcqYg8Swx4WL6f2D,0.582,0.0103,1,-28.292,1,0.1,0.993,0.936,0.102,0.363,100.704,140640,4,40.28695,7,0,,140640,37,2015-05-05,0,31,20430,2,"['399s62PfwKlLnrLvBjWFYB', '1VAROhCPJ12gotkD2SveHi']"
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,spotify:track:3vu8NXAryXrNG8ICj71Buq,0.689,0.858,5,-3.185,1,0.061,0.00129,0,0.0988,0.51,140.022,234480,4,43.48484,12,1,,234480,60,2011-08-01,0,67,1841135,2,"['1KYszkVzlhV3rAqmAcYIgd', '2OTfr6S2kuHRYStjt1IkY6']"
Alone,Marshmello,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,273803,4,41.01193,16,1,,273802,75,2016-05-13,0,91,27542912,1,['64KEffDW9EtZ1y2vBYgq8T']
Elisa's Theme,Alexandre Desplat,spotify:track:0Cr1H8kCXN5qBAQCHYtVGu,0.447,0.168,10,-17.865,1,0.0372,0.988,0.804,0.0979,0.272,180.063,156467,3,45.81566,8,0,,156466,56,2017-12-01,0,71,231603,1,['71jzN72g8qWMCMkWC5p1Z0']
American Country Love Song,Jake Owen,spotify:track:0O1x2tRm8ZpfDbcpOWZp7z,0.529,0.891,8,-4.36,1,0.043,0.0457,0,0.0942,0.329,104.031,199747,4,33.69356,9,1,,199746,61,2016-07-29,0,70,1467690,1,['1n2pb9Tsfe4SwAjmUac6YT']
Sick Boy,The Chainsmokers,spotify:track:58kZ9spgxmlEznXGu6FPdQ,0.663,0.577,11,-7.518,0,0.0531,0.109,0,0.12,0.454,89.996,193200,4,53.38415,9,1,,193200,71,2018-12-14,0,87,16901757,1,['69GGBxA162lTqCwzJG5jLp']
Marry Poppin,Joey Trap,spotify:track:4Efj3xq7pQkq2o77vBSru3,0.894,0.559,0,-9.577,1,0.366,0.0347,0,0.0936,0.331,81.991,82200,4,11.77365,3,0,,82200,20,2019-07-19,0,62,499910,1,['0qpRQJnULShIWFKhcW5pce']
Everyday,Weyes Blood,spotify:track:5bDXDHFVw0dscRDv0Qu1bu,0.478,0.569,2,-7.252,1,0.0308,0.274,5.04e-05,0.0938,0.418,112.963,307013,4,77.78388,12,0,,307013,51,2019-04-05,0,62,150505,1,['3Uqu1mEdkUJxPe7s31n1M9']
Lavender Blue (Dilly Dilly) - Instrumental,Fred Mollin,spotify:track:41xfXGP8qwohCKMIv61DmF,0.68,0.331,0,-12.275,1,0.0596,0.985,0.855,0.0951,0.674,92.029,91213,4,42.68255,4,0,,91213,46,2014-01-01,0,62,2707,1,['0qPfO5FCAsfqK3pgqBSAJR']
South,Galimatias,spotify:track:7L5P30Eg8eta8Q9em2VteI,0.694,0.333,0,-11.108,0,0.0651,0.646,0.0253,0.108,0.433,76.013,215526,4,91.21798,6,0,,215526,44,2018-04-26,0,64,106098,1,['0tOrKkXIn3VYyVHFEPG6Xd']
If I Didn't Have You,Thompson Square,spotify:track:6PQ0WLZnT479J7Q1TGIb3n,0.549,0.805,6,-3.431,1,0.0277,0.0628,5.26e-06,0.343,0.53,147.91,202907,4,27.77833,10,1,,202906,49,2013-03-26,0,54,354300,1,['0Bvs8yPjrQSbmVIRqSg1Sp']
Without You,for KING & COUNTRY,spotify:track:5Z2TvUNflVYGsoFGkvAKzE,0.327,0.269,4,-12.912,1,0.0339,0.825,0.000234,0.108,0.0857,141.514,292693,4,34.798,11,0,,292693,47,2015-10-22,0,69,686611,2,"['3sDbKMebVH2VYcRSl7u1VC', '0d8odIvbXq4hPIIv1C4KvV']"
Can't Remember To Forget You,Shakira Featuring Rihanna,spotify:track:2Sh4sAOfnSHEVKFyysxzat,0.694,0.81,11,-3.556,0,0.0661,0.122,0,0.141,0.824,137.968,206867,4,32.7089,8,1,,206866,64,2014-03-14,0,92,59595707,2,"['0EmeFodog0BfCgMzAIvKQp', '5pKCCKE2ajJHZ9KAiaK11H']"
Nasty,Datsik,spotify:track:6Rxa3iS3kpo9iTHg97Vxo3,0.461,0.964,1,-3.275,1,0.223,0.00025,0.3,0.247,0.0558,112.586,217600,3,104.30144,7,0,,217600,51,2016-12-16,0,59,575337,2,"['48q2mPVwlKnlSaCx07i6Ta', '4FXGRMSHh2JjHxVwS8dhH1']"
You Was Right,Lil Uzi Vert,spotify:track:2ANLarE8yHVsLWW21nj79M,0.843,0.359,0,-7.417,1,0.461,0.069,0,0.12,0.156,81.987,163944,4,24.56445,8,1,,163944,70,2016-05-27,0,92,10017955,1,['4O15NlyKLIASxsJ0PrXPfz']
Make Love,Gucci Mane & Nicki Minaj,spotify:track:2jIT1TfSIjVik7Qu1B6P5h,0.972,0.563,11,-6.983,1,0.156,0.00528,0.00257,0.111,0.217,129.984,300160,4,76.75199,10,1,,300160,48,2017-10-13,0,92,22598292,2,"['13y7CgLHjMVRMDqxdx0Xdo', '0hCNtLu0JehylgoiP8L4Gh']"
Lola Montez,Volbeat,spotify:track:4NiIVDc0o0bmRiKrcFAggO,0.513,0.875,2,-4.819,1,0.0336,0.000139,3.28e-05,0.0715,0.677,151.986,267680,4,23.92554,9,0,,267680,12,2019-09-13,0,75,1677890,1,['0L5fC7Ogm2YwgqVCRcF1bT']
Feelin (feat. Spinn & Taso),DJ Rashad,spotify:track:02RjeZNfU1hEicU6sZVT4J,0.374,0.836,4,-7.503,1,0.0738,0.000115,0.737,0.346,0.0937,79.916,270815,4,19.51185,10,0,,270815,22,2014-07-01,0,38,33429,3,"['4zGBj9dI63YIWmZkPl3o7V', '0ZGOz1bQgvsT4KSzHB1dg9', '0zN0VIGQs6bYKzrB7EQYhC']"
Alice,Avril Lavigne,spotify:track:4gLVsEaNMpzkCAM0hXgDoi,0.536,0.824,0,-4.403,1,0.0767,0.0458,0.000199,0.174,0.172,119.004,300987,4,27.44375,11,1,,300986,54,2011-03-08,0,80,6384897,1,['0p4nmQO2msCgU4IF37Wi3j']
The Breath You Take,George Strait,spotify:track:0zKsfGlBHj6mzZRhmACl8M,0.492,0.383,11,-7.735,0,0.0277,0.752,0.000413,0.119,0.248,132.1,215880,3,29.33265,9,1,,215880,36,2009-01-01,0,76,2204562,1,['5vngPClqofybhPERIqQMYd']
What's The Move,Young Thug Featuring Lil Uzi Vert,spotify:track:4AV8V8uTcOTwbuXjSPrAWE,0.961,0.438,7,-7.877,1,0.31,0.0431,0,0.139,0.412,124.018,251080,4,63.22651,11,1,,251080,49,2019-12-20,0,93,15648273,2,"['50co4Is1HCEo8bhOyUWKpn', '4O15NlyKLIASxsJ0PrXPfz']"
Neo-Tokyo - Dance With The Dead Remix,Scandroid,spotify:track:44K1GCbNLf1NHlCaLaYONk,0.467,0.954,0,-4.137,0,0.0414,1.64e-05,0.908,0.0856,0.061,122.004,352105,4,63.96928,11,0,,352105,56,2017-03-31,0,60,216107,2,"['27qG899eLldfpYtPr3S3NJ', '2KtnZQwMQJN3uyI8eHZRvm']"
You Can't Stop The Beat,Glee Cast,spotify:track:4xpY2faFPJA2YQE4P9S78U,0.471,0.951,8,-3.011,1,0.176,0.131,0,0.3,0.646,169.986,223013,4,51.31418,9,1,,223013,45,2011-12-06,0,81,1296254,1,['0SCbttzoZTnLFebDYmAWCm']
I'm Not Gonna Miss You,Glen Campbell,spotify:track:6G5NsbGQlLQx4xjZE69Lnt,0.449,0.356,7,-9.373,1,0.0286,0.59,2.83e-06,0.0824,0.177,126.472,177347,4,46.10768,7,1,,177346,34,2015-01-01,0,65,261227,1,['59hLmB5DrdihCYtNeFeW1U']
Cedí,La Arrolladora Banda El Limón De Rene Camacho,spotify:track:0C5u9cvJGDP4YpIbUyzJW4,0.77,0.345,10,-7.798,1,0.034,0.122,0,0.103,0.53,119.903,193347,4,36.13234,8,0,,193346,65,2019-06-28,0,79,3609381,1,['5bSfBBCxY8QAk4Pifveisz']
679,Fetty Wap Featuring Remy Boyz,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,196693,4,23.56527,14,1,,196693,76,2015-06-29,0,77,3923043,2,"['6PXS4YHDkKvl1wkIl4V8DL', '2s0yxtiHiyGe6CY4mbDYFi']"
Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,spotify:track:69dXVFCMiz3SL1L7M24NdX,0.799,0.526,8,-5.153,1,0.0717,0.334,0.00174,0.0571,0.746,129.875,150475,4,30.24642,7,1,,150475,64,2019-11-22,0,93,30992169,3,"['15UsOTVnJzReFVN1VCnxy4', '21WS9wngs9AqFckK7yYJPM', '6Xgp2XMz1fhVYe7i6yNAax']"
Donde Estaras,ICC,spotify:track:3734uAibGyPgZEABdWFVtM,0.738,0.684,0,-5.55,1,0.0343,0.129,6.4e-06,0.266,0.841,90.01,223504,4,42.54275,8,0,,223503,62,2016-12-01,0,57,29948,1,['66UyAOM9ECEDzsfUm9UXeF']
Not my tempo,Dj Mad Dog,spotify:track:2lHOqFzYNIk3AjrOlDgXSX,0.456,0.947,2,-3.15,1,0.192,0.0259,0.0535,0.0908,0.0643,174.076,256788,4,44.68472,14,0,,256787,35,2015-09-03,0,50,60446,1,['7oX7rzli18XsB2WFd88oW4']
Come Wake Me Up,Rascal Flatts,spotify:track:5mCttXluvE0gaIArboAoFA,0.454,0.605,4,-6.816,1,0.0314,0.255,0,0.109,0.18,155.861,263253,3,23.22576,10,1,,263253,53,2012-01-01,0,75,2537704,1,['0a1gHP0HAqALbEyxaD5Ngn']
Gouryella,Gouryella,spotify:track:5QuPV2QWiVdwwgC75MudGz,0.561,0.957,0,-6.625,1,0.0428,0.000139,0.735,0.0913,0.335,138.017,217147,4,35.26865,10,0,,217146,34,2010-12-17,0,48,21267,1,['1JKDQ9CDwfLKUrhO6KYaki']
Takkaru Takkaru,Hiphop Tamizha,spotify:track:6gGsZzBr9jmfhcr9FhfX47,0.756,0.918,6,-3.45,1,0.0589,0.224,4.74e-06,0.845,0.735,100.005,206041,4,43.29448,8,0,,206041,39,2016-06-26,0,65,1377335,1,['7zFBW2JxM4bgTTKxCRcS8Q']
Juxtapozed with U,Super Furry Animals,spotify:track:7LkicEgjBDtF7AjiYhdQMM,0.526,0.823,6,-6.661,0,0.0483,0.105,1.1e-05,0.0726,0.921,82.862,191373,4,46.31503,6,0,,191373,15,2016-11-04,0,47,82038,1,['0FOcXqJgJ1oq9XfzYTDZmZ']
"Merry Christmas, Baby",Joe Bonamassa,spotify:track:4kk62PnXUDSk5ma7OMX4Au,0.318,0.621,2,-7.84,1,0.0332,0.14,0.012,0.481,0.386,171.338,288348,3,53.75245,18,0,,288348,15,2016-12-09,0,64,618227,1,['2SNzxY1OsSCHBLVi77mpPQ']
Names or Faces,Tipling Rock,spotify:track:4BSytfGTrB2LUr1bOQrNoQ,0.705,0.786,6,-6.034,1,0.0368,0.109,0.000159,0.39,0.932,126.035,174187,4,33.38266,9,0,,174187,33,2015-08-25,0,58,61158,1,['2ZDHVJnLtH2KJfBFzShihr']
I Will Always Love You (Instrumental Piano),Tim O'Neill,spotify:track:4g1eH1YvVRtwEXgoYQtVxM,0.302,0.0717,4,-18.865,1,0.0607,0.993,0.918,0.0817,0.182,172.716,290920,3,108.22794,15,0,,290920,37,2018-02-23,0,30,107,1,['1tN9httZQe6OAOE2xwvluG']
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,spotify:track:4hgOvDJXYPCqEpEKznz9YX,0.641,0.87,0,-3.953,1,0.175,0.0248,0,0.291,0.42,95.019,238747,4,42.6456,10,1,,238746,43,2012-01-01,0,77,2361839,2,"['7pGyQZx9thVa8GxMBeXscB', '2jw70GZXlAI8QzWeY2bgRc']"
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,spotify:track:5FIb3CWPjub8C5Yu2IxzTj,0.54,0.495,5,-6.386,1,0.0268,0.404,0.00011,0.124,0.338,70.997,197227,1,51.74649,9,1,,197226,48,2014-01-01,0,77,3346333,2,"['6roFdX1y5BYSbp60OTJWMd', '3tgurcCC4NE9Vri1AzDbZV']"
Cheval,Igorrr,spotify:track:5gXKwH68RrWzpf6DdPa3vM,0.605,0.867,5,-5.362,1,0.0847,0.0264,0.000182,0.877,0.377,105.049,186286,3,60.02898,7,0,,186285,42,2017-06-16,0,50,107132,1,['2p2uE4i92Dn4DkThfoKIB9']
In The Dark,Dev,spotify:track:1pbHy9VBpSyZh56xuujZz0,0.736,0.823,8,-4.231,1,0.0675,0.00358,0.000914,0.33,0.442,124.954,226227,4,30.17382,9,1,,226226,53,2012-01-01,0,66,233744,1,['7Ip2u3e5Nv6fFb5xyIHxEE']
Pabbarotti & Friends: Roots Bloody Roots,J.B.O.,spotify:track:1EZhUscFkvFWZD5NvLxk09,0.506,0.906,4,-4.566,0,0.101,0.00265,0.0075,0.339,0.192,119.973,225120,4,51.26578,10,0,,225120,29,2011-10-07,0,52,98877,1,['6xyJPaGMOPyGyVlqAU2GqE']
Guitaria,Deep Dive Corp.,spotify:track:1EFaqDuClmdJX6F2uCtC47,0.697,0.806,6,-11.305,1,0.053,0.000148,0.909,0.103,0.382,112.009,323571,4,18.21349,13,0,,323571,21,2012-07-30,0,42,7619,1,['2Xn8Gef5Hv2QOWYlXs2gTb']
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,spotify:track:7CZiLgkiVHhFcDkI2Y4lZ4,0.445,0.631,11,-4.798,1,0.0304,0.129,0,0.0911,0.152,143.846,256440,4,38.755,11,1,,256440,61,2010-11-02,0,80,11140722,2,"['3FfvYsEGaIb52QPXhg4DcH', '3BmGtnKgCSGYIUhmivXKWX']"
Alone Together,Fall Out Boy,spotify:track:5MsZIaCYY6Tsdph0LiB0hE,0.552,0.915,4,-3.713,1,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,203413,4,23.33299,8,1,,203413,60,2013-01-01,0,84,8292940,1,['4UXqAaa6dQYAk18Lv7PEgX']
Tattoo,Van Halen,spotify:track:66H4tD2U1SNgIRSD19m5jv,0.497,0.886,2,-3.314,1,0.0435,0.00929,9.77e-05,0.198,0.508,100.118,283040,4,24.70769,16,1,,283040,37,2012-02-07,0,81,3539938,1,['2cnMpRsOVqtPMfq7YiFE6K']
Un immense désespoir,Nocturnal Depression,spotify:track:6pTW8qOTWRkCDQBIWfCtuF,0.43,0.91,9,-4.65,0,0.0566,0.00147,0.658,0.0496,0.265,100.023,440033,4,46.54859,17,0,,440032,21,2015-06-24,0,29,24448,1,['7wWVpKpMtvSX9mQapjtKAD']
Perchtenzeit,tuXedoo,spotify:track:4fNUS32B6pbI2UOuYxmo7A,0.443,0.951,5,-4.227,1,0.084,0.00357,0.000162,0.125,0.287,142.048,217502,4,21.08967,9,0,,217502,0,2018-02-03,0,13,1131,1,['44irRUOhAfb0ochWsW4sG1']
Love in the Cemetery,Lord Kitchener,spotify:track:35lw3Neh7Tdb6cOM8bxbHa,0.551,0.618,7,-11.204,1,0.0698,0.797,0,0.126,0.963,99.088,209853,4,86.57835,10,0,,209853,27,2011-09-01,0,36,7944,1,['7FL6vuQ7VGJvOiZUukHAcK']
Que Te Vaya Bien,Grupo Jalado,spotify:track:5IdaVuUzEDF3T56U5vS5ck,0.822,0.705,7,-3.147,1,0.0373,0.495,1.2e-05,0.115,0.938,94.011,217587,4,34.24772,10,0,,217586,64,2017-09-07,0,57,85916,1,['71mQj8OrRgy3smRMjnFioM']
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,spotify:track:15EPc80XuFrb2LmOzGjuRg,0.728,0.607,1,-8.417,0,0.132,0.133,0,0.0864,0.445,129.938,176702,4,44.03005,6,1,,176702,74,2017-03-24,0,81,2265578,3,"['5XenQ7XfcvQdfIbpLEFaKQ', '3tlXnStJ1fFhdScmQeLpuG', '1DvtabXAjfrMihPP6JQdHs']"
No Heart,21 Savage & Metro Boomin,spotify:track:4gmmRb6bZJffOOiww1JGTO,0.906,0.444,4,-8.692,0,0.384,0.136,6.44e-05,0.173,0.678,140.063,235040,4,30.02457,12,1,,235040,72,2016-07-15,0,91,10760607,2,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']"
